,t,per,tb,L,MLT,lat,lon,shapes,final_eye
238,2003-03-28 22:05:40.440,0.215,0.6624,4.553,22.031,-62.492,27.46,,2.5
239,2003-03-29 04:27:59.240,0.18,0.5896,4.395,0.726,-74.81,-52.283,,2.5
240,2003-03-30 22:13:27.020,0.5,0.4949,4.051,10.583,60.81,-159.842,other,1.5
241,2003-03-30 23:02:32.800,0.2867,0.695,4.738,22.015,-67.13,12.949,,2.5
242,2003-03-31 10:05:34.520,0.235,1.1035,5.981,2.181,-67.533,-153.341,,3.0
243,2003-03-31 23:44:17.920,0.235,0.6848,4.718,22.448,58.3,-33.79,,2.5
244,2003-04-02 08:00:56.540,0.22,0.7669,5.605,6.24,-73.04,4.178,,2.0
245,2003-04-16 06:26:10.540,0.14,0.7521,5.641,0.544,-74.146,-121.315,,2.5
246,2003-04-17 06:14:55.220,0.26,0.5886,4.879,4.761,-69.498,5.044,,3.0
247,2003-04-17 06:15:03.060,0.168,0.5807,4.831,4.798,-69.154,5.461,,2.0
248,2003-04-17 09:21:05.100,0.2667,0.781,5.788,5.189,-79.207,-69.11,crown,1.5
249,2003-04-18 05:54:41.560,0.5533,0.6541,5.198,4.422,-70.688,6.365,,2.5
250,2003-04-18 11:58:07.900,0.084,0.5826,4.846,20.646,-48.474,129.387,,3.0
251,2003-04-18 12:11:57.380,0.2533,0.6147,5.091,7.017,-75.602,-98.63,crown,1.0
252,2003-04-22 04:35:51.120,0.14,0.7718,5.482,3.883,-68.509,20.682,,2.5
253,2003-04-22 04:36:37.240,0.2667,0.6681,5.086,4.17,-66.068,23.09,decr,1.0
254,2003-04-22 10:38:47.120,0.1267,0.5891,4.751,20.488,-49.226,141.208,,3.0
255,2003-04-23 05:40:33.980,0.165,0.6686,4.973,23.03,-69.633,-132.35,other,1.5
256,2003-04-23 05:41:42.480,0.155,0.9106,5.785,23.632,-73.665,-125.864,,3.0
257,2003-04-23 05:49:46.440,0.3267,0.6216,4.918,3.898,-71.508,-4.158,,3.0
258,2003-04-24 08:37:48.500,0.22,0.6082,4.734,4.716,-75.994,-58.55,,2.5
259,2003-04-24 15:32:10.860,0.2467,0.564,4.747,7.085,54.283,-114.755,other,1.5
260,2003-04-25 00:31:58.860,0.12,0.6235,4.924,5.394,-50.223,87.505,,2.5
261,2003-04-25 02:38:25.800,0.44,0.6248,4.913,8.605,67.315,86.504,,2.5
262,2003-04-25 06:32:06.520,0.2667,0.4635,3.876,21.63,-58.223,-159.141,other,1.0
263,2003-04-26 07:56:52.860,0.21,0.8356,5.754,3.894,-79.089,-66.047,,2.5
264,2003-04-28 01:06:24.540,0.1533,0.5432,4.498,4.66,-51.363,72.122,,2.5
265,2003-04-28 05:33:48.740,0.2733,0.5794,4.487,21.806,-64.065,-146.881,,3.0
266,2003-05-01 06:18:29.760,0.244,0.6506,4.691,3.21,-74.644,-34.437,,2.5
267,2003-05-01 06:19:32.920,0.384,0.5069,4.105,3.514,-71.066,-27.71,,2.5
268,2003-05-01 12:37:40.180,0.08,0.7493,5.592,6.336,-72.92,-126.016,,2.5
269,2003-05-01 19:02:19.120,0.3467,0.6027,4.917,6.557,-51.66,155.166,crown,1.5
270,2003-05-01 19:34:16.240,0.2467,0.5995,4.831,6.785,66.527,177.69,,2.0
271,2003-05-02 04:24:19.880,0.34,0.669,5.216,2.503,-72.642,-3.532,,2.5
272,2003-05-02 04:24:30.620,0.33,0.6587,5.166,2.542,-72.314,-2.955,crown,1.0
273,2003-05-02 04:25:09.540,0.4667,0.5935,4.81,2.803,-69.973,0.544,other,1.0
274,2003-05-02 12:17:16.880,0.1267,0.7622,5.88,6.11,-73.963,-125.166,,3.0
275,2003-05-04 00:39:56.900,0.495,0.624,5.049,3.485,-55.186,64.59,decr,1.0
276,2003-05-07 07:26:43.640,0.24,0.6466,4.899,3.245,-76.49,-69.57,,3.0
277,2003-05-07 07:27:12.480,0.2467,0.5706,4.545,3.332,-75.29,-65.992,,2.0
278,2003-05-07 10:38:03.980,0.1333,0.4617,3.915,4.99,-70.151,-103.963,,3.0
279,2003-05-07 15:25:09.820,0.3133,0.5578,4.563,6.093,-59.211,-166.385,other,1.5
280,2003-05-07 20:43:17.500,0.22,0.5759,4.65,6.512,67.44,148.696,other,1.5
281,2003-05-08 05:32:14.220,0.2,0.615,4.864,2.269,-75.717,-40.421,decr,1.0
