,t,per,tb,L,MLT,lat,lon,shapes,final_eye,pl1,dt,T05,OP,SL,T89,OM
86,2003-06-22 19:27:29.700,0.4133,0.8105,6.334,8.48,65.371,-148.194,crown,1.0,0.7657651470588237,"[0.38, 0.42, 0.44]",0.8105605539602267,0.7552891345734939,0.7480954849572169,0.7549665995194619,0.7993116128048757
87,2003-07-07 08:32:40.000,0.33,0.6536,5.265,7.775,-66.994,24.029,crown,1.5,0.7138063725490198,"[0.44, 0.4, 0.42]",0.5756540508962104,0.5609611539552697,0.6050759000564517,0.5570369983461483,0.5717138581784191
88,2003-07-15 03:35:24.640,0.2667,0.5638,4.583,6.783,65.042,43.244,crown,1.0,1.0,"[0.24, 0.26, 0.3]",0.5638392801398155,0.5401829628337618,0.5361424237346814,0.5371576616660134,0.5507611870625463
89,2003-07-28 15:25:01.740,0.26,0.5388,4.595,9.198,-71.061,-118.603,crown,1.0,1.0,"[0.3, 0.26, 0.22]",0.5388721315519298,0.5380570949043335,0.5392834894708948,0.5357418144115526,0.5414415697171268
90,2003-07-29 03:58:48.900,0.2333,0.5882,4.87,4.753,-60.514,41.53,crown,1.0,0.8392044852941178,"[0.2, 0.24, 0.26]",0.588249351270953,0.5828508504081122,0.5778343143389941,0.5764737150329237,0.5822511710726461
91,2003-08-02 02:33:36.200,0.24,0.5645,4.653,4.278,-56.705,52.428,crown,1.5,1.0,"[0.24, 0.24, 0.24]",0.5645142208759693,0.5519667196279863,0.5481011104307272,0.5467321521541164,0.5560161367737255
92,2003-08-03 18:59:16.800,0.26,0.8554,5.865,3.172,70.689,124.696,decr,1.5,1.0,"[0.22, 0.26, 0.3]",0.8553501040211824,0.7627713811826694,0.7537082173042855,0.7471641871080874,0.8002149472186497
93,2003-08-06 10:41:57.740,0.34,0.5193,4.273,6.495,-74.367,-59.994,crown,1.0,1.0,"[0.34, 0.32, 0.36]",0.5193558744192951,0.495602447742458,0.4974025947619813,0.4934966372517631,0.5142511079733223
94,2003-08-14 06:17:57.680,0.28,0.5666,4.71,3.82,-72.34,-14.621,crown,1.5,0.7846427843137258,"[0.28, 0.28, 0.28]",0.5666377904637673,0.5601065511755325,0.5581678150833169,0.5543183060240259,0.5542352702476464
95,2003-08-18 20:03:24.700,0.2267,0.4415,3.607,1.924,62.128,85.807,other,1.0,1.0,"[0.22, 0.24, 0.22]",0.4415102932316037,0.4103242178021709,0.410358003503286,0.4104857468337849,0.4392396938121523
96,2003-08-18 21:38:00.560,0.205,0.4643,3.71,2.004,62.092,62.043,other,1.5,1.0,"[0.18, 0.22, 0.26]",0.4643128030597391,0.4246491206336006,0.4234056382257644,0.4245161469931418,0.4560572614013038
97,2003-08-21 06:26:22.020,0.1667,0.5096,4.166,2.32,49.761,-68.916,other,1.0,0.9808819264705884,"[0.16, 0.16, 0.18]",0.5096243117413953,0.4747880026496234,0.4764483251581987,0.4730448652749534,0.4966929281545104
98,2003-08-21 17:54:48.900,0.2867,0.656,4.941,3.571,-49.374,137.846,crown,1.5,0.8481861029411762,"[0.32, 0.28, 0.26]",0.6559917663981197,0.5857183787841956,0.5836682495547743,0.5774966882391142,0.6139347631553812
99,2003-08-22 05:02:59.120,0.3133,0.554,4.513,2.681,-71.268,-14.37,decr,1.5,0.5370375686274509,"[0.32, 0.3, 0.32]",0.5540310138212491,0.5325303740080175,0.5311502607029496,0.5280610806747443,0.5520446361969312
100,2003-08-23 15:38:32.960,0.3067,0.4977,4.214,4.02,-51.982,168.884,other,1.0,0.902277117647059,"[0.34, 0.3, 0.28]",0.4977429309367188,0.4872719832400405,0.4868725795204711,0.4850272017212984,0.4994551234853258
101,2003-08-24 09:06:10.660,0.38,0.6364,4.956,4.894,-76.754,-66.737,crown,1.0,1.0,"[0.36, 0.38, 0.4]",0.6365182698892966,0.6000648886473606,0.5995854658326363,0.5920712132273774,0.6172340463859656
102,2003-08-29 13:32:55.320,0.3267,0.5957,4.875,4.05,-59.858,-168.299,half,1.5,0.927909823529412,"[0.34, 0.32, 0.32]",0.5957610005854942,0.5886311180685265,0.5870010021406963,0.580092228553802,0.5808040495155173
103,2003-09-10 09:19:07.140,0.215,0.5958,4.869,3.456,-72.154,-117.195,decr,1.0,1.0,"[0.2, 0.22, 0.26]",0.5957919210210094,0.5934446702563931,0.5925316491756327,0.5837015968866142,0.5956701139596838
104,2003-10-21 20:22:31.660,0.4733,0.523,4.258,6.784,65.592,161.657,crown,1.5,1.0,"[0.44, 0.48, 0.5]",0.5230417750352274,0.4954166286569603,0.4944984086237624,0.4929767077759736,0.5115953011510631
105,2003-10-22 06:46:14.000,0.4267,0.5971,4.527,3.625,-75.162,-47.645,other,1.5,1.0,"[0.44, 0.44, 0.4]",0.597093377960657,0.5358498130044901,0.5343329763522366,0.5326245882818856,0.5706002762399482
106,2003-10-22 06:46:43.460,0.3333,0.5253,4.201,3.753,-73.542,-43.923,crown,1.5,1.0,"[0.34, 0.34, 0.32]",0.5253460816314866,0.4869673154654199,0.4869704461556505,0.4858403122727848,0.5114491304221787
107,2003-10-30 00:48:44.580,0.1533,0.3124,2.838,3.165,-44.812,50.655,crown,1.5,1.0,"[0.14, 0.14, 0.18]",0.3123773042316917,0.3019179605460693,0.3048693470350525,0.3042722833880142,0.3348230592954111
