,lon,lat,alt,L,B,MLT,losscone1,losscone2,pitch,SAA,att,counts,Beq
2003-11-14 23:36:33.900,37.058,-37.751,540.944,2.199,0.25,1.307,67.576,67.576,88.605,1,1,1568.0,0.029
2003-11-24 21:24:23.900,48.569,-40.664,551.546,2.457,0.287,23.696,65.328,65.328,86.937,0,1,296.0,0.021
2003-11-26 22:16:20.780,33.808,-29.374,546.472,1.776,0.238,23.948,68.222,68.222,85.235,1,1,784.0,0.055
2003-11-27 21:50:32.040,35.902,-39.851,551.717,2.33,0.249,23.336,67.288,67.288,90.627,1,1,440.0,0.024
2003-11-27 21:51:42.420,36.629,-35.521,549.653,2.069,0.246,23.545,67.617,67.617,88.408,1,1,912.0,0.035
2003-12-02 09:16:22.120,-130.387,41.864,487.461,2.2,0.402,0.526,64.909,64.909,87.019,0,4,1824.0,0.028
2003-12-03 21:09:17.740,35.388,-32.22,541.302,1.902,0.242,22.837,68.18,68.18,91.343,1,1,1056.0,0.045
2003-12-03 21:09:51.040,35.663,-30.161,539.601,1.804,0.242,22.919,68.147,68.147,90.97,1,1,624.0,0.052
2003-12-16 19:16:58.760,36.496,-31.258,512.23,1.848,0.246,21.05,68.725,68.725,87.03,1,0,456.0,0.049
2003-12-16 19:17:12.940,36.613,-30.374,511.185,1.809,0.246,21.085,68.718,68.718,87.093,1,0,392.0,0.052
2003-12-18 18:30:24.860,43.946,-31.592,507.871,1.859,0.265,20.756,67.475,67.475,88.092,1,0,1184.0,0.048
2004-01-01 06:12:55.980,29.189,-25.787,542.623,1.645,0.233,7.809,68.26,68.26,86.922,1,0,1440.0,0.069
2004-01-01 06:13:11.260,29.297,-26.732,542.901,1.679,0.233,7.8,68.418,68.418,86.757,1,0,4224.0,0.065
2004-01-01 17:47:10.940,26.124,-27.739,468.235,1.708,0.235,18.943,70.548,70.548,85.631,1,0,688.0,0.061
2004-01-05 17:47:52.700,17.734,-26.679,460.693,1.675,0.231,18.389,70.218,70.218,85.716,1,0,4224.0,0.065
2004-01-06 17:23:53.480,21.348,-28.36,460.764,1.737,0.231,18.211,70.795,70.795,85.191,1,0,6016.0,0.058
2004-01-27 10:17:57.080,-77.599,-57.933,482.963,2.119,0.306,5.581,64.657,64.657,94.678,0,0,2880.0,0.032
2004-01-29 14:37:54.740,14.923,-27.2,469.98,1.698,0.228,15.038,69.935,69.935,87.411,1,0,2624.0,0.062
2004-01-30 02:40:49.620,21.897,-27.706,484.798,1.717,0.23,3.282,70.054,70.054,87.66,1,0,4224.0,0.061
2004-01-31 02:18:42.720,26.638,-34.094,480.339,1.978,0.232,3.041,70.924,70.924,88.015,1,0,2240.0,0.04
2004-02-13 00:17:04.920,29.701,-33.24,458.492,1.94,0.238,1.222,71.164,71.164,65.672,1,1,344.0,0.042
2004-02-24 22:37:06.420,29.388,-32.196,458.176,1.889,0.237,23.655,71.173,71.173,97.658,1,1,376.0,0.046
2004-02-27 23:00:53.840,18.661,-39.159,467.621,2.208,0.226,23.164,71.715,71.715,92.16,1,1,408.0,0.029
2004-02-28 22:35:05.120,21.641,-32.958,463.59,1.925,0.228,23.126,71.528,71.528,90.952,1,1,2880.0,0.043
2004-07-28 00:57:41.160,30.875,-36.952,537.491,2.144,0.236,2.346,68.822,68.822,80.262,1,1,140.0,0.032
2004-08-09 08:31:16.540,-101.921,-56.626,511.731,2.19,0.347,2.478,63.602,63.602,51.883,0,1,204.0,0.028
2004-08-15 05:57:05.220,-76.821,-54.442,497.182,1.918,0.285,1.087,64.317,64.317,68.66,0,1,1056.0,0.043
2004-08-17 22:17:56.780,26.496,-35.561,496.602,2.057,0.231,23.488,70.534,70.534,100.746,1,1,3520.0,0.036
2004-08-30 04:15:07.200,-80.995,-58.099,466.46,2.13,0.315,23.364,65.102,65.102,105.112,0,1,1056.0,0.031
2004-09-16 05:10:03.000,30.374,-32.54,514.605,1.912,0.235,6.679,69.617,69.617,86.676,1,0,376.0,0.043
2004-09-16 09:48:23.280,-44.032,-49.217,510.461,1.882,0.227,6.463,66.47,66.47,78.659,1,0,1696.0,0.046
2004-09-20 05:01:37.260,24.785,-28.919,522.847,1.768,0.228,6.296,69.432,69.432,89.942,1,0,592.0,0.056
2004-09-25 04:24:41.020,22.356,-34.694,530.024,2.015,0.223,5.387,70.032,70.032,90.433,1,0,2016.0,0.038
